Source;Target;Weight;Type
n50;n43;3.0;Directed
n50;n55;68.0;Directed
n50;n11;2.0;Directed
n50;n53;38.0;Directed
n15;n20;5.0;Directed
n15;n30;5.0;Directed
n15;n41;1.0;Directed
n15;n15;1.0;Directed
n15;n44;3.0;Directed
n15;n57;11.0;Directed
n15;n32;1.0;Directed
n15;n4;3.0;Directed
n15;n58;1.0;Directed
n15;n8;3.0;Directed
n15;n17;5.0;Directed
n60;n26;2.0;Directed
n60;n20;12.0;Directed
n60;n0;1.0;Directed
n60;n40;1.0;Directed
n60;n30;12.0;Directed
n60;n60;1.0;Directed
n60;n57;1.0;Directed
n60;n43;6.0;Directed
n60;n55;22.0;Directed
n60;n53;5.0;Directed
n19;n19;1.0;Directed
n42;n30;5.0;Directed
n42;n42;1.0;Directed
n1;n0;1.0;Directed
n1;n30;3.0;Directed
n1;n50;1.0;Directed
n1;n1;1.0;Directed
n1;n35;6.0;Directed
n10;n10;1.0;Directed
n10;n55;4.0;Directed
n44;n44;1.0;Directed
n57;n20;7.0;Directed
n57;n0;13.0;Directed
n57;n30;7.0;Directed
n57;n50;2.0;Directed
n57;n60;4.0;Directed
n57;n44;2.0;Directed
n57;n57;1.0;Directed
n57;n32;2.0;Directed
n57;n35;4.0;Directed
n57;n8;1.0;Directed
n57;n17;3.0;Directed
n57;n55;10.0;Directed
n57;n53;3.0;Directed
n36;n30;1.0;Directed
n36;n36;1.0;Directed
n12;n12;1.0;Directed
n12;n37;1.0;Directed
n12;n43;1.0;Directed
n12;n55;1.0;Directed
n5;n5;1.0;Directed
n32;n0;9.0;Directed
n32;n30;11.0;Directed
n32;n41;3.0;Directed
n32;n50;3.0;Directed
n32;n44;4.0;Directed
n32;n57;4.0;Directed
n32;n12;1.0;Directed
n32;n5;1.0;Directed
n32;n32;1.0;Directed
n32;n35;1.0;Directed
n32;n55;1.0;Directed
n39;n30;1.0;Directed
n39;n39;1.0;Directed
n23;n23;1.0;Directed
n23;n17;1.0;Directed
n23;n53;1.0;Directed
n3;n12;1.0;Directed
n3;n3;1.0;Directed
n3;n35;1.0;Directed
n34;n20;1.0;Directed
n34;n34;1.0;Directed
n52;n20;2.0;Directed
n52;n52;1.0;Directed
n7;n7;1.0;Directed
n48;n30;1.0;Directed
n48;n48;1.0;Directed
n48;n22;1.0;Directed
n6;n6;1.0;Directed
n6;n35;2.0;Directed
n4;n20;1.0;Directed
n4;n0;2.0;Directed
n4;n59;9.0;Directed
n4;n41;2.0;Directed
n4;n16;1.0;Directed
n4;n50;1.0;Directed
n4;n4;1.0;Directed
n4;n55;2.0;Directed
n22;n22;1.0;Directed
n35;n20;2.0;Directed
n35;n0;13.0;Directed
n35;n40;1.0;Directed
n35;n30;23.0;Directed
n35;n41;1.0;Directed
n35;n50;3.0;Directed
n35;n57;1.0;Directed
n35;n4;4.0;Directed
n35;n35;1.0;Directed
n35;n17;1.0;Directed
n35;n55;9.0;Directed
n35;n11;1.0;Directed
n35;n53;1.0;Directed
n58;n58;1.0;Directed
n29;n60;1.0;Directed
n29;n29;1.0;Directed
n13;n13;1.0;Directed
n38;n30;1.0;Directed
n38;n38;1.0;Directed
n45;n45;1.0;Directed
n8;n20;1.0;Directed
n8;n0;4.0;Directed
n8;n35;1.0;Directed
n8;n8;1.0;Directed
n8;n17;1.0;Directed
n8;n55;2.0;Directed
n8;n53;5.0;Directed
n17;n20;4.0;Directed
n17;n0;13.0;Directed
n17;n63;1.0;Directed
n17;n30;23.0;Directed
n17;n41;3.0;Directed
n17;n50;5.0;Directed
n17;n60;4.0;Directed
n17;n10;1.0;Directed
n17;n44;2.0;Directed
n17;n57;12.0;Directed
n17;n35;2.0;Directed
n17;n17;1.0;Directed
n17;n55;2.0;Directed
n62;n30;1.0;Directed
n62;n62;1.0;Directed
n37;n30;5.0;Directed
n37;n37;1.0;Directed
n43;n60;1.0;Directed
n43;n43;1.0;Directed
n43;n55;3.0;Directed
n47;n47;1.0;Directed
n55;n20;9.0;Directed
n55;n0;14.0;Directed
n55;n63;2.0;Directed
n55;n59;2.0;Directed
n55;n30;16.0;Directed
n55;n50;6.0;Directed
n55;n60;9.0;Directed
n55;n57;1.0;Directed
n55;n32;1.0;Directed
n55;n35;6.0;Directed
n55;n55;1.0;Directed
n55;n53;15.0;Directed
n54;n17;1.0;Directed
n54;n54;1.0;Directed
n11;n55;5.0;Directed
n11;n11;1.0;Directed
n53;n20;1.0;Directed
n53;n0;18.0;Directed
n53;n63;1.0;Directed
n53;n30;8.0;Directed
n53;n50;11.0;Directed
n53;n60;4.0;Directed
n53;n57;1.0;Directed
n53;n6;1.0;Directed
n53;n17;4.0;Directed
n53;n43;1.0;Directed
n53;n55;9.0;Directed
n53;n53;1.0;Directed
